topic_group,date_utc,rows_total,body_removed_count,body_deleted_count,author_deleted_count,automod_author_count,stickied_count,bot_name_heuristic_count,date,days_from_event,body_removed_rate_pct,body_deleted_rate_pct,author_deleted_rate_pct,automod_author_rate_pct,stickied_rate_pct,bot_name_heuristic_rate_pct
marketing,2022-11-23,980,32,21,55,96,84,16,2022-11-23,-7,3.2653061224489797,2.142857142857143,5.612244897959184,9.795918367346939,8.571428571428571,1.6326530612244898
marketing,2022-11-24,845,24,20,47,81,76,15,2022-11-24,-6,2.8402366863905324,2.366863905325444,5.562130177514793,9.585798816568047,8.994082840236686,1.7751479289940828
marketing,2022-11-25,1044,18,18,36,86,75,9,2022-11-25,-5,1.7241379310344827,1.7241379310344827,3.4482758620689653,8.237547892720306,7.183908045977011,0.8620689655172413
marketing,2022-11-26,887,16,35,79,76,70,8,2022-11-26,-4,1.8038331454340473,3.9458850056369785,8.90642615558061,8.568207440811724,7.891770011273957,0.9019165727170236
marketing,2022-11-27,922,18,16,40,71,65,7,2022-11-27,-3,1.9522776572668112,1.735357917570499,4.3383947939262475,7.70065075921909,7.049891540130152,0.7592190889370932
marketing,2022-11-28,1234,34,44,83,93,86,2,2022-11-28,-2,2.755267423014587,3.565640194489465,6.726094003241491,7.53646677471637,6.9692058346839545,0.1620745542949757
marketing,2022-11-29,1284,51,32,121,97,92,1,2022-11-29,-1,3.9719626168224296,2.4922118380062304,9.423676012461058,7.554517133956386,7.165109034267912,0.0778816199376947
marketing,2022-11-30,1304,33,35,88,102,99,3,2022-11-30,0,2.5306748466257667,2.6840490797546015,6.748466257668712,7.822085889570553,7.592024539877301,0.23006134969325154
marketing,2022-12-01,959,60,24,84,79,77,3,2022-12-01,1,6.256517205422315,2.502606882168926,8.75912408759124,8.237747653806048,8.02919708029197,0.31282586027111575
marketing,2022-12-02,823,8,17,28,101,91,6,2022-12-02,2,0.9720534629404617,2.0656136087484813,3.402187120291616,12.27217496962333,11.057108140947753,0.7290400972053462
marketing,2022-12-03,904,19,24,49,62,60,4,2022-12-03,3,2.101769911504425,2.6548672566371683,5.420353982300885,6.8584070796460175,6.637168141592921,0.4424778761061947
